Slovensko ime,Znanstveno ime,Užitnost,Čas rasti,Temp. prag (zrak),Mikorizni partner,Tip rastišča (Prehranjevanje),Tip tal (pH vrednost),Nevarnost zamenjave (Dvojnice),Vonj in okus,Sprememba barve mesa ob poškodbi,Shranjevanje in priprava,Višinski pas in značilna območja,Pogostost v Zgornji savinjski,Geološki mikro-teren (Zg. Savinjska),"Minimalna kumulativna vlaga (7 dni, mm)",Optimalni temperaturni pas (°C),Vpliv vetra/izsušitve,Gobarski indeks (Izračun),Indeks,Vir podatkov
Betičasta livka,Ampulloclitocybe clavipes,Neužitna,Sep – Nov,6 – 14 °C,,Razkrajalka stelje; raste v listju in iglicah mešanih gozdov,Nevtralna tla,Užitne livke – clavipes ima odebeljen bet in v kombinaciji z alkoholom povzroča slabost.,,,,Vse višine,Pogosta pozno jeseni.,Gozdna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bodičasti dežnik,Echinoderma asperum,Strupena,Avg – Okt,10 – 18 °C,,Razkrajalka organskih ostankov; raste v humusu listnatih gozdov in parkov,Bazična apnenčasta tla,Dežniki (Macrolepiota) – asperum je gosto pokrit s koničastimi luskami in neprijetno diši.,,,,Nižine in sredogorje,Manj pogost.,Humusna apnenčasta tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Ljubka golobica,Russula amoena,Užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna tla,Druge vijoličaste golobice – amoena ima žametast klobuk in vonj po topinamburju.,,,,Nižine in sredogorje,Manj pogosta.,Nevtralna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Imperator rhodopurpureus,Imperator rhodopurpureus,Pogojno užitna,Jul – Sep,16 – 24 °C,"Bukev, hrast",Mikoriza; v tleh v toplih listnatih gozdovih na apnencu,Bazična apnenčasta tla,"Vražji goban (Rubroboletus satanas) – strupen. Gobanov z rdečimi cevkami, ki močno pomodrijo, brez izkušenj ne nabiraj.",,,,Nižine in gričevje,"Redek, na toplih apnenčastih legah.",Karbonatna tla toplih leg,20-30,16-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Orjaška kolobarnica,Tricholoma colossus,Užitna,Sep – Okt,8 – 16 °C,Bor,Mikoriza; v tleh pod bori na peščenih tleh,"Kisla, peščena tla","Druge velike kolobarnice – colossus je mesnat in zelo velik, z rdečkasto rjavim klobukom.",,,,Sredogorje,Redka vrsta borovih sestojev.,Kisla peščena tla borovij,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Vijoličastobetna golobica,Russula violeipes,Užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna tla,Druge blage golobice – violeipes ima vijoličasto nadahnjen bet in vonj po topinamburju.,,,,Nižine in sredogorje,Manj pogosta.,Nevtralna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Siva golobica,Russula grisea,Užitna,Jul – Okt,12 – 20 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,Modrikasta golobica (Russula cyanoxantha) – prav tako užitna in zelo podobna.,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Beli dežnik,Leucoagaricus leucothites,Pogojno užitna,Avg – Okt,12 – 20 °C,,"Razkrajalka travinja; raste na travnikih, ob poteh in v vrtovih",Nevtralna tla,Bele mušnice (Amanita virosa) in zelena mušnica – SMRTNO STRUPENE. Bele gobe s travnikov brez preverjanja ovoja ob dnu beta ne nabiraj.,,,,Nižine in sredogorje,Pogost na travnikih in ob poteh.,Travniki in gozdni robovi,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Majska kolobarnica,Calocybe gambosa,Užitna,Apr – Jun,10 – 18 °C,,Razkrajalka travinja; raste v vrstah in krogih na travnikih in gozdnih robovih,Bazična apnenčasta tla,Velika rdečelistka (Entoloma sinuatum) – strupena in raste v istem času; gambosa ima bel trosni prah in močan vonj po moki.,,,,Nižine in sredogorje,Pogosta spomladi na apnenčastih travnikih.,Karbonatni travniki in robovi,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Trdna polževka,Hygrophorus penarius,Užitna,Avg – Okt,10 – 18 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih na apnencu,Bazična apnenčasta tla,Druge bele polževke – vse neškodljive; penarius je čvrsta in suha.,,,,Sredogorje,Manj pogosta.,Karbonatni masivi,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Vodena krhkotrosovka,Psathyrella piluliformis,Neužitna,Avg – Nov,8 – 16 °C,,Razkraja les; raste v gostih šopih ob štorih listavcev,Nevtralna tla,"Robata smrtnica (Galerina marginata) – smrtno strupena, raste v podobnih šopih na lesu.",,,,Nižine in sredogorje,Pogosta na bukovih štorih.,Vlažni gozdovi,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sladkasta mlečnica,Lactarius subdulcis,Neužitna,Avg – Nov,8 – 16 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,"Druge drobne rjave mlečnice – subdulcis ima bel, sprva blag mleček.",,,,Sredogorje,Zelo pogosta v bukovju.,Apnenčasta bukovja,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zlatorumena trepetlika,Tremella mesenterica,Užitna,Celotno leto,0 – 14 °C,,"Razkraja les; želatinast rumen trosnjak na odmrlih vejah listavcev, zajeda druge glive na lesu",Nevtralna tla,"Rumena rogljača (Calocera viscosa) – ta je čvrsta in razrasla, trepetlika mehko nagubana.",,,,Nižine in sredogorje,Pogosta pozimi na odmrlih vejah.,Listnati gozdovi,20-30,0-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Luskasta mušnica,Amanita strobiliformis,Pogojno užitna,Jul – Sep,16 – 24 °C,"Hrast, lipa, bukev",Mikoriza; v tleh v toplih listnatih gozdovih in parkih,Bazična apnenčasta tla,Panterjeva mušnica (Amanita pantherina) – strupena. Mušnic brez zanesljive določitve ne nabiraj.,,,,Nižine in gričevje,"Redka, na toplih apnenčastih legah.",Karbonatna tla toplih leg,20-30,16-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zraščena livka,Leucocybe connata,Pogojno užitna,Sep – Nov,6 – 14 °C,,Razkrajalka organskih ostankov; raste v gostih zraščenih šopih ob poteh in gozdnih robovih,Nevtralna tla,Bele livke (Clitocybe) in mladi dežniki – connata raste v izrazito zraščenih šopih.,,,,Nižine in sredogorje,Manj pogosta.,Gozdni robovi in poti,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Progasta kolobarnica,Tricholoma virgatum,Neužitna,Sep – Nov,6 – 14 °C,"Smreka, bukev",Mikoriza; v tleh v iglastih in mešanih gozdovih,Kisla tla,"Zimska kolobarnica (Tricholoma portentosum) – užitna; virgatum je izrazito pekoča, s koničasto grbo na klobuku.",,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Clitocybe fasciculata,Clitocybe fasciculata,Strupena,Sep – Nov,8 – 16 °C,,Razkrajalka travinja; raste v šopih na travnikih in ob poteh,Nevtralna tla,Travniška vitezovka (Marasmius oreades) – bele livke s travnikov vsebujejo muskarin in so nevarne.,,,,Nižine in sredogorje,Manj pogosta.,Travniki in poti,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Cestni kukmak,Agaricus bitorquis,Užitna,Maj – Okt,14 – 22 °C,,"Razkrajalka organskih ostankov; raste ob poteh, na nasutjih in v urbanem okolju",Nevtralna tla,Karbolni kukmak (Agaricus xanthodermus) – ta ob dnu beta porumeni in diši po karbolu. Bele mušnice imajo ovoj ob dnu beta.,,,,Nižine in doline,Pogost ob poteh in nasutjih.,Nasutja in urbani robovi,20-30,14-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Škrlatna vlažnica,Hygrocybe punicea,Pogojno užitna,Sep – Nov,4 – 14 °C,,Razkrajalka travinja; raste na neognojenih planinskih travnikih,Nevtralna tla,Druge rdeče vlažnice – punicea je največja med njimi. Vlažnice so kazalke ohranjenih travnikov; puščaj jih rasti.,,,,Gorske lege in planine,"Redka, kazalka ohranjenih travnikov.",Planinski pašniki,20-30,4-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zlatozobata polževka,Hygrophorus chrysodon,Užitna,Sep – Nov,6 – 14 °C,"Bukev, smreka",Mikoriza; v tleh v mešanih gozdovih na apnencu,Bazična apnenčasta tla,Druge bele polževke – chrysodon ima zlatorumene zrnate pike na robu klobuka.,,,,Sredogorje,Manj pogosta.,Karbonatni masivi,25-35,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Smolnata mlečnica,Lactarius picinus,Neužitna,Avg – Okt,8 – 16 °C,"Smreka, jelka",Mikoriza; v tleh v gorskih iglastih gozdovih,Kisla do nevtralna tla,Črna mlečnica (Lactarius lignyotus) – picinus ima žametno črnorjav klobuk brez nagubanega roba.,,,,Gorske lege,"Manj pogosta, v gorskem smrekovju.",Gorska iglasta tla,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Polkrvava koprenka,Cortinarius semisanguineus,Strupena,Avg – Okt,8 – 16 °C,"Smreka, bor","Mikoriza; v tleh v iglastih gozdovih, v mahu",Kisla tla,Krvavordeča koprenka (Cortinarius sanguineus) – rod koprenk vsebuje smrtno strupene vrste in ga ne nabiramo.,,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kolobarjasta mlečnica,Lactarius zonarius,Neužitna,Avg – Okt,12 – 20 °C,"Hrast, gaber",Mikoriza; v tleh v toplih listnatih gozdovih,Bazična apnenčasta tla,"Užitne sirovke – zonarius ima bel, pekoč mleček in kolobarjast klobuk.",,,,Nižine in gričevje,Manj pogosta.,Karbonatna tla toplih leg,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Vlažna mlečnica,Lactarius uvidus,Neužitna,Avg – Okt,8 – 16 °C,"Breza, vrba, smreka",Mikoriza; v tleh v vlažnih gozdovih in logih,Vlažna tla,"Druge sivkaste mlečnice – uvidus ima bel mleček, ki na mesu pusti vijoličasto liso.",,,,Nižine in doline ob rekah,"Manj pogosta, v vlažnih legah.",Rečni logi in vlažne terase,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zimski luknjičar,Polyporus brumalis,Neužitna,Okt – Apr,0 – 12 °C,,"Razkraja les; trosnjak na odmrlih vejah listavcev, pozimi in zgodaj spomladi",Nevtralna tla,,,,,Nižine in sredogorje,Pogost pozimi na odmrlih vejah.,Listnati gozdovi,20-30,0-12,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Ramaria fennica,Ramaria fennica,Neužitna,Avg – Okt,8 – 16 °C,"Bukev, smreka",Mikoriza; v tleh v gorskih gozdovih,Nevtralna do bazična tla,Rumena griva (Ramaria flava) – fennica je vijoličasto sivkasta in grenka. Ločevanje griv je zahtevno.,,,,Gorske lege,Manj pogosta.,Gorska gozdna tla,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Borov luknjičar,Phaeolus schweinitzii,Neužitna,Jul – Okt,10 – 20 °C,,"Razkraja les; velik rjav trosnjak ob dnu borov in smrek, na koreninah",Kisla tla,,,,,Vse višine,Pogost ob starih iglavcih.,Kisla silikatna tla,20-30,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Gabrova mlečnica,Lactarius circellatus,Neužitna,Avg – Okt,10 – 18 °C,Izključno gaber,Mikoriza; v tleh pod gabri,Nevtralna do bazična tla,Sluzasta mlečnica (Lactarius blennius) – ta raste pod bukvijo; circellatus je vezana na gaber.,,,,Nižine in gričevje,"Pogosta povsod, kjer je gaber.",Nevtralna tla z gabrom,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bradavičasta pokovka,Scleroderma verrucosum,Strupena,Jul – Okt,14 – 22 °C,"Hrast, breza",Mikoriza; v tleh na peščenih in revnih tleh,"Kisla, peščena tla","Mlade prašnice – pokovka ima trdo lupino in temno notranjost. Prerez pokovke je črnovijoličast, prašnice bel.",,,,Nižine in sredogorje,Pogosta na kislih peščenih tleh.,Kisla peščena tla,20-30,14-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rdečkasta polževka,Hygrophorus erubescens,Pogojno užitna,Sep – Nov,6 – 14 °C,Smreka,Mikoriza; v tleh v gorskih smrekovih gozdovih,Kisla do nevtralna tla,"Medena polževka (Hygrophorus russula) – erubescens ima rdečkaste lise, ki porumenijo, in grenkoben okus.",,,,Gorske lege,Manj pogosta.,Gorska iglasta tla,25-35,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Runjava marelica,Lepiota clypeolaria,Strupena,Avg – Okt,10 – 18 °C,,Razkrajalka organskih ostankov; raste v humusu listnatih in mešanih gozdov,Nevtralna tla,Mladi dežniki (Macrolepiota) – marelice rodu Lepiota vsebujejo smrtno nevarne amatoksine. Drobnih dežnikom podobnih gob ne nabiraj.,,,,Nižine in sredogorje,Pogosta v gozdnem humusu.,Humusna gozdna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Amanita battarrae,Amanita battarrae,Pogojno užitna,Avg – Okt,10 – 18 °C,"Smreka, bukev, breza",Mikoriza; v tleh v mešanih in iglastih gozdovih,Kisla tla,"Zelena mušnica (Amanita phalloides) – SMRTNO STRUPENA. Lupinarice nimajo obročka, a jih od mladih smrtno strupenih mušnic loči le izkušeno oko.",,,,Sredogorje in gorske lege,Manj pogosta.,Kisla silikatna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Cantharellus ianthinoxanthus,Cantharellus ianthinoxanthus,Užitna,Avg – Okt,10 – 18 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,Navadna lisička (Cantharellus cibarius) – prav tako užitna; ianthinoxanthus ima vijoličasto nadahnjene gube.,,,,Sredogorje,Redka vrsta bukovij.,Apnenčasta bukovja,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Nenavadna koprenka,Cortinarius anomalus,Neužitna,Avg – Okt,8 – 16 °C,"Breza, smreka, bukev",Mikoriza; v tleh v mešanih gozdovih,Kisla do nevtralna tla,Smrtno strupene koprenke (Cortinarius orellanus) – rod koprenk vsebuje smrtno strupene vrste in ga ne nabiramo.,,,,Vse višine,Pogosta v mešanih gozdovih.,Kisla in nevtralna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
